0,1,2,3,4,5,6,7,8,9,10,11,12,13
73,BSCSE,CSE 1112,Structured Programming Language Laboratory,J,522 (Computer Lab,,)Sun,,08:30:AM - 11:00:AM,-,Nusrat Jahan Tithi,NtJT,1
74,BSCSE,CSE 1112,Structured Programming Language Laboratory,K,522 (Computer Lab,,)Wed,,08:30:AM - 11:00:AM,-,Nusrat Jahan Tithi,NtJT,1
75,BSCSE,CSE 1112,Structured Programming Language Laboratory,L,522 (Computer Lab,,)Wed,,02:00:PM - 04:30:PM,-,TBA,TBA,1
76,BSCSE,CSE 1112,Structured Programming Language Laboratory,N,522 (Computer Lab,,)Wed,,11:11:AM - 01:40:PM,-,Anika Tasnim Rodela,ATR,1
77,BSCSE,CSE 1112,Structured Programming Language Laboratory,O,522 (Computer Lab,,)Wed,,02:00:PM - 04:30:PM,-,Kazi Abdun Noor,KAN,1
78,BSCSE,CSE 1112,Structured Programming Language Laboratory,P,522 (Computer Lab,,)Sun,,02:00:PM - 04:30:PM,-,Kazi Abdun Noor,KAN,1
79,BSCSE,CSE 1112,Structured Programming Language Laboratory,S,522 (Computer Lab,,)Sun,,08:30:AM - 11:00:AM,-,Md. Nafis Tahmid Akhand,MNTA,1
80,BSCSE,CSE 1112,Structured Programming Language Laboratory,T,528 (Computer Lab,,)Wed,,08:30:AM - 11:00:AM,-,Md. Nafis Tahmid Akhand,MNTA,1
81,BSCSE,CSE 1112,Structured Programming Language Laboratory,V,522 (Computer Lab,,)Tue,,02:00:PM - 04:30:PM,-,TBA,TBA,1
82,BSCSE,CSE 1112,Structured Programming Language Laboratory,Q,522 (Computer Lab,,)Wed,,08:30:AM - 11:00:AM,-,Md. Shadman Aadeeb,MdShA,1
83,BSCSE,CSE 1112,Structured Programming Language Laboratory,R,522 (Computer Lab,,)Wed,,11:11:AM - 01:40:PM,-,TBA,TBA,1
84,BSCSE,CSE 1115,Object Oriented Programming,B,405,405,Sat,Tue,08:30:AM - 09:50:AM,08:30:AM - 09:50:AM,Md. Romizul Islam,MdRIm,3
85,BSCSE,CSE 1115,Object Oriented Programming,C,407,407,Sat,Tue,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Abdullah Al Jobair,AAJr,3
86,BSCSE,CSE 1115,Object Oriented Programming,A,405,405,Sun,Wed,08:30:AM - 09:50:AM,08:30:AM - 09:50:AM,Md. Tanvir Raihan,MTR,3
87,BSCSE,CSE 1115,Object Oriented Programming,E,406,406,Sat,Tue,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,TBA,TBA,3
88,BSCSE,CSE 1115,Object Oriented Programming,F,407,407,Sat,Tue,12:31:PM - 01:50:PM,12:31:PM - 01:50:PM,Md. Romizul Islam,MdRIm,3
89,BSCSE,CSE 1115,Object Oriented Programming,G,402,402,Sat,Tue,01:51:PM - 03:10:PM,01:51:PM - 03:10:PM,TBA,TBA,3
90,BSCSE,CSE 1115,Object Oriented Programming,H,405,405,Sun,Wed,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Azizur Rahman Anik,ARnA,3
91,BSCSE,CSE 1115,Object Oriented Programming,D,406,406,Sun,Wed,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Abdullah Al Jobair,AAJr,3
92,BSCSE,CSE 1115,Object Oriented Programming,I,408,408,Sat,Tue,12:31:PM - 01:50:PM,12:31:PM - 01:50:PM,Tanmoy Bipro Das,TBD,3
93,BSCSE,CSE 1115,Object Oriented Programming,J,406,406,Sun,Wed,12:31:PM - 01:50:PM,12:31:PM - 01:50:PM,Sadia Islam,SaIs,3
